"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
1929529,"February 15, 2021",Ohio,Cleveland,"Cedar Rd and E 28th St",0,1,N/A
1929152,"February 15, 2021",Georgia,Macon,"Mason St",0,1,N/A
1929601,"February 15, 2021",Illinois,Chicago,"6401 S Mozart St",0,1,N/A
1928843,"February 14, 2021",Ohio,Columbus,"2200 Mock Rd",0,2,N/A
1929792,"February 14, 2021",Louisiana,Folsom,N/A,0,1,N/A
1928908,"February 14, 2021",Pennsylvania,"Harrisburg (Swatara)","2900 block of Sycamore St",0,1,N/A
1928751,"February 13, 2021",Wisconsin,Milwaukee,"4600 block of N 29th St",0,1,N/A
1929024,"February 13, 2021",Missouri,"Saint Louis","2503 N Taylor Ave",1,2,N/A
1928279,"February 12, 2021",Georgia,Macon,"3640 Eisenhower Pkwy",0,1,N/A
1928217,"February 12, 2021",Indiana,"Fort Wayne","4900 block of Oak Knob Run",0,1,N/A
1928276,"February 12, 2021",Georgia,"Jones (county)",N/A,0,1,N/A
1926964,"February 11, 2021",Louisiana,"New Orleans","2000 Canal St",0,2,N/A
1925523,"February 10, 2021","New Mexico",Albuquerque,"4601 Carlisle NE",1,2,N/A
1924260,"February 9, 2021",Ohio,Canton,"1500 block of Cherry Ave SE",0,1,N/A
1924253,"February 9, 2021",Texas,Houston,"5619 Aldine Bender Rd",0,1,N/A
1925213,"February 9, 2021",Alabama,Mobile,"1159 Spring Hill Ave",0,1,N/A
1923921,"February 8, 2021",Arkansas,"El Dorado","301 Hudson St",0,1,N/A
1923676,"February 8, 2021",Minnesota,Burnsville,"1300 block of 143rd St W",0,1,N/A
1924271,"February 8, 2021",Pennsylvania,Lancaster,"100 block of Waterfront Estates Dr",0,1,N/A
1922971,"February 7, 2021",Indiana,"East Chicago","4800 block of Indianapolis Blvd",0,3,N/A
1925009,"February 6, 2021",Illinois,Kankakee,"400 block of E Oak St",0,2,N/A
1923315,"February 6, 2021",Missouri,"Saint Louis (Spanish Lake)","12000 block of Garden Ln",0,1,N/A
1921752,"February 5, 2021",Washington,Auburn,"5100 block of SE 297th St",0,1,N/A
